what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1422610324838
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1422610324978
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1422610324978
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1422610324978
os,sysinfo,,,"win32",1422610325041
arch,sysinfo,,,"x86_64",1422610325041
ws,sysinfo,,,"win32",1422610325041
locale,sysinfo,,,"it_IT",1422610325041
processors,sysinfo,,,"4",1422610325041
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422610325041
java.runtime.version,sysinfo,,,"1.8.0_20-b26",1422610325041
java.specification.name,sysinfo,,,"Java Platform API Specification",1422610325041
java.specification.vendor,sysinfo,,,"Oracle Corporation",1422610325041
java.specification.version,sysinfo,,,"1.8",1422610325041
java.vendor,sysinfo,,,"Oracle Corporation",1422610325041
java.version,sysinfo,,,"1.8.0_20",1422610325041
java.vm.info,sysinfo,,,"mixed mode",1422610325041
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1422610325041
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422610325041
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1422610325041
java.vm.specification.version,sysinfo,,,"1.8",1422610325041
java.vm.vendor,sysinfo,,,"Oracle Corporation",1422610325041
java.vm.version,sysinfo,,,"25.20-b23",1422610325041
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1422610325041
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1422610325166
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1422610325166
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1422610325322
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1422610325322
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1422610325385
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1422610325463
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1422610326010
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1422610326056
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1422610326150
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1422610326166
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1422610326488
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1422610326519
